Greene,AR,61.2,35.5,87692,13029,16.4,10.61,51.59,56.8,265
Hempstead,AR,61.38,34.3,116516,13034,23.3,10.93,52.43,30.2,437
Hot Spring,AR,59.42,36.4,89702,12622,18.6,12.24,51.71,42.9,299
Howard,AR,55.56,34.5,109796,15854,17.5,9.15,51.86,23.3,151
Independence,AR,55.16,34.8,101619,14704,16.5,11.48,51.38,41.4,335
Izard,AR,61.18,43.9,97572,12867,21.1,12.57,51.04,20.3,49
Jackson,AR,65.71,36.7,79717,14215,23.9,11.42,52.21,29.8,280
Jefferson,AR,68.85,31.9,93840,14208,27.6,11.59,51.86,96.2,594
Johnson,AR,52.14,35.3,80327,12801,18,12.1,51.14,28.2,236
Lafayette,AR,57.12,35.1,102237,11796,30,9.03,52.41,17.9,136
Lawrence,AR,59.84,36.7,81939,12210,23.8,10.53,51.95,29.7,128
Lee,AR,67.82,31.9,45369,11213,45.4,7.94,52.1,21.4,471
Lincoln,AR,64.53,32.2,39478,10859,29,8.95,41.04,24.8,60
Little River,AR,58.18,33.8,73347,14504,19.1,11.83,51.47,25.8,206
Logan,AR,45.99,35.3,82325,13428,18.7,11.8,50.65,29.3,89
Lonoke,AR,50.32,32.5,65589,15744,14.2,9.02,50.83,53.4,215
Madison,AR,45.76,36,69156,13857,17.3,11.61,50.84,14.7,108
Marion,AR,44.15,42.7,70869,12902,19.1,13.59,51.16,20.9,127
Miller,AR,48.21,32.7,117603,13585,22.8,11.18,52.29,61.8,881
Mississippi,AR,62.94,29.4,62732,13954,26.2,9.06,51.81,61.2,822
Monroe,AR,60.35,34.5,106861,13899,33,11.48,53.01,18,294
Montgomery,AR,51.29,40.1,54338,12035,22.5,13.63,50.68,10.2,180
Nevada,AR,56.79,35.6,70636,12803,19.9,11.44,52.27,16.1,74
Newton,AR,42.59,35.7,47612,10483,26.3,12.17,49.95,9.2,30
Ouachita,AR,59.69,35.2,71745,14052,22.1,11.88,52.83,40.4,442
Perry,AR,54.39,36.4,55942,12829,16.7,10.89,50.99,15.1,92
Phillips,AR,65.63,30.8,88659,12440,42.7,9.3,54.29,40.6,464
Pike,AR,51.23,36.4,130671,14460,17.4,12.27,51.18,16.6,71
Poinsett,AR,62.31,34.6,89898,13199,26.6,11.03,51.9,32.2,184
Polk,AR,43.81,38,87606,13423,21,14.06,51.22,20.6,169
Pope,AR,43.13,31.8,83848,15627,16,9.9,50.59,59.2,309
Pulaski,AR,58.03,32.4,105797,20027,17.1,12.57,52.52,458,1130
Randolph,AR,62.1,36.6,60560,11488,21.4,11.69,51.61,25.9,146
St. Francis,AR,61.57,31,59719,12171,35.7,8.24,53.46,44.5,771
Saline,AR,49.38,33.4,35739,15059,9.3,10.63,50.47,92.6,365
