"submission_date","state","new_case","new_death"
"01/17/2022","VT",0,0
"12/09/2021","MT",266,7
"01/01/2022","IN",0,0
"09/30/2021","VI",37,0
"12/13/2021","WA",3345,26
"12/17/2021","NH",1396,8
"11/11/2021","VI",0,0
"01/16/2022","NE",0,0
"09/24/2021","AL",2936,58
"01/10/2022","VI",64,0
"11/25/2021","IL",3852,0
"01/18/2022","AL",17104,36
"12/09/2021","ND",367,0
"12/12/2021","VT",503,1
"10/23/2021","AL",402,19
"02/02/2022","NV",2132,38
"02/13/2022","MT",0,0
"01/22/2022","VT",0,0
"10/22/2021","NC",2252,29
"10/20/2021","WI",2510,26
"10/30/2021","IL",0,0
"12/04/2021","NE",0,0
"01/21/2022","IN",17661,114
"01/12/2022","NE",5041,32
"11/17/2021","NE",1199,7
"09/01/2021","GU",169,0
"11/01/2021","AL",937,5
"01/02/2022","IN",0,0
"10/14/2021","CA",7263,148
"02/02/2022","WI",5447,56
"09/24/2021","ND",637,7
"01/25/2022","NH",860,25
"10/25/2021","IN",3516,0
"01/13/2022","MS",8356,17
"09/21/2021","IN",2635,82
"01/23/2022","NC",20133,55
"10/14/2021","IN",2619,84
"11/24/2021","ID",570,8
"09/29/2021","NV",800,34
"12/12/2021","ND",149,0
"09/19/2021","NC",4947,58
"11/07/2021","NV",0,0
"12/03/2021","NE",0,0
"12/21/2021","CA",7766,-3
"12/06/2021","MT",354,29
"09/23/2021","VT",262,1
"12/13/2021","MS",736,5
"01/14/2022","MO",9904,22
"10/30/2021","IN",0,50
"01/23/2022","IL",0,0
"10/17/2021","IN",1274,0
"11/16/2021","CA",4515,20
"12/07/2021","ND",470,11
"12/01/2021","MS",468,2
"01/19/2022","MO",14242,151
"10/06/2021","MD",1077,19
"10/01/2021","CA",7869,126
"11/03/2021","MD",696,10
"01/05/2022","MT",1103,1
"12/13/2021","CA",18905,176
"11/05/2021","ND",603,3
"12/13/2021","NE",1836,8
"12/16/2021","MI",7023,52
"12/26/2021","NE",0,0
"10/06/2021","IN",2633,77
"09/03/2021","VT",153,1
"11/19/2021","MD",1082,12
"09/06/2021","WA",2815,13
"09/19/2021","WA",2578,23
"11/17/2021","CA",3912,128
"09/03/2021","IL",5980,42
"01/08/2022","MO",16216,11
"12/01/2021","IN",6004,64
"01/04/2022","CT",10602,64
"12/14/2021","WI",4836,58
"10/10/2021","CA",0,0
"09/17/2021","ME",655,3
"10/09/2021","GU",61,0
"01/30/2022","MS",0,0
"09/05/2021","AL",2490,73
"01/04/2022","GU",189,0
"02/17/2022","AL",1440,90
"12/04/2021","WA",0,0
"09/30/2021","MS",822,12
"09/11/2021","VI",36,1
"12/07/2021","NC",2665,16
"11/11/2021","VT",555,1
"12/02/2021","NC",3834,17
"12/19/2021","MO",1902,0
"10/21/2021","IN",2150,27
"09/05/2021","MO",1283,2
"09/08/2021","ID",1504,15
"09/06/2021","IN",3245,0
"09/06/2021","ND",407,0
"12/23/2021","ID",456,2
"10/10/2021","VI",5,0
"11/07/2021","ME",0,0
"09/23/2021","NC",6301,64
"01/30/2022","GU",527,5
"10/12/2021","DE",165,8
"01/14/2022","MS",9300,19
"10/03/2021","WA",2307,14
"01/08/2022","MS",0,0
"10/07/2021","MO",1595,5
"12/10/2021","GU",4,0
"09/07/2021","WI",859,1
"01/13/2022","NV",7382,22
"11/26/2021","MT",393,19
"01/04/2022","MD",15264,43
"09/11/2021","IN",3389,65
"10/11/2021","NV",617,10
"12/25/2021","VI",0,0
"12/01/2021","CT",1093,4
"11/11/2021","NC",2051,14
"10/13/2021","ME",802,5
"02/10/2022","AL",2886,0
"01/14/2022","IN",15856,103
"09/15/2021","MO",2639,6
"11/14/2021","ME",0,0
"01/08/2022","WA",0,0
"11/30/2021","WI",5912,50
"12/12/2021","WI",0,0
"12/03/2021","IN",5600,60
"11/06/2021","MD",791,7
"02/01/2022","NV",2138,61
"12/20/2021","WI",7427,96
"09/20/2021","MI",2735,12
"11/13/2021","MT",0,0
"02/08/2022","CT",1343,-1
"09/25/2021","ND",141,0
"11/20/2021","AL",258,7
"12/19/2021","MI",0,0
"01/03/2022","WA",33069,0
"02/10/2022","VT",382,3
"01/06/2022","MT",1162,4
"11/27/2021","MI",5563,0
"09/13/2021","CT",450,0
"09/24/2021","CT",470,18
"11/21/2021","NH",0,0
"01/22/2022","ME",69,0
"12/25/2021","NV",0,0
"01/03/2022","ID",1420,7
"11/08/2021","VT",223,2
"10/03/2021","ID",339,-1
"11/26/2021","NE",832,0
"10/21/2021","MS",422,9
"01/12/2022","MD",11692,68
"01/03/2022","MT",796,2
"10/21/2021","CT",410,0
"11/04/2021","DE",301,5
"01/24/2022","MS",12711,13
"10/18/2021","NE",155,8
"10/05/2021","NE",843,1
"10/17/2021","MT",423,18
"11/27/2021","ME",0,0
"10/16/2021","NV",465,9
"12/12/2021","CT",0,0
"12/10/2021","MD",1745,27
"09/25/2021","NE",591,3
"09/27/2021","NE",592,4
"01/02/2022","CA",0,0
"01/29/2022","WI",0,0
"12/12/2021","MD",1361,9
"11/01/2021","VI",0,0
"12/19/2021","VT",435,1
"12/16/2021","NV",837,19
"09/07/2021","GU",325,1
"11/24/2021","IL",5058,24
"02/09/2022","VT",448,3
"02/14/2022","ND",572,11
"12/03/2021","MT",311,0
"10/12/2021","NC",2413,46
"10/25/2021","WI",4513,40
"12/20/2021","MI",15221,99
"10/09/2021","ME",64,0
"11/15/2021","CA",8410,134
"11/17/2021","VI",17,0
"12/04/2021","MO",1450,0
"11/08/2021","NV",1876,46
"12/23/2021","MO",6468,11
"12/29/2021","MI",17027,84
"02/16/2022","VI",17,1
"12/04/2021","AL",278,9
"09/08/2021","NH",540,1
"12/28/2021","NH",534,28
"11/06/2021","WI",0,0
"09/02/2021","NE",1118,8
"09/05/2021","CT",402,0
"12/19/2021","WA",0,0
"02/03/2022","IL",8394,111
"01/06/2022","AL",10888,25
"12/05/2021","MO",1755,3
"11/21/2021","NV",0,0
"11/18/2021","MO",1782,9
"11/23/2021","MD",740,10
"10/20/2021","DE",293,4
"10/03/2021","GU",103,8
"01/29/2022","IL",0,0
"01/15/2022","MD",10362,65
"10/19/2021","CA",4081,21
"01/16/2022","MO",37,0
"02/13/2022","WI",0,0
"01/26/2022","WA",41374,40
"10/15/2021","NC",3051,41
"12/16/2021","WA",1870,18
"11/23/2021","NV",661,23
"11/05/2021","WA",1817,31
"01/30/2022","NH",0,0
"11/30/2021","NV",898,32
"09/06/2021","NH",250,1
"02/05/2022","DE",445,13
"10/25/2021","WA",5804,29
"12/09/2021","MD",1520,18
"09/28/2021","DE",290,8
"10/27/2021","NH",0,0
"09/05/2021","VI",15,0
"11/11/2021","MT",0,0
"09/11/2021","IL",3050,41
"12/27/2021","MI",35418,142
"11/21/2021","CA",0,0
"11/18/2021","MT",728,17
"12/24/2021","VT",574,0
"12/03/2021","NV",734,20
"09/04/2021","VT",148,0
"01/04/2022","MI",16427,118
"09/13/2021","DE",444,0
"12/31/2021","ID",0,0
"11/06/2021","NH",0,0
"12/12/2021","MT",0,0
"01/21/2022","NC",37105,70
"01/18/2022","GU",815,2
"02/04/2022","MI",5331,149
"09/22/2021","AL",3285,57
"09/05/2021","MS",1929,27
"12/04/2021","IL",0,0
"12/08/2021","AL",717,12
"12/22/2021","ND",413,1
"10/26/2021","MI",4463,66
"01/26/2022","MD",3101,47
"10/22/2021","MO",1187,3
"10/06/2021","DE",428,2
"11/05/2021","NE",0,0
"10/01/2021","CT",721,21
"01/18/2022","CA",76374,36
"09/21/2021","GU",138,1
"10/19/2021","NE",1360,4
"01/02/2022","DE",3116,0
"02/17/2022","MI",2734,47
"01/13/2022","CT",9604,0
"12/13/2021","NH",3643,7
"09/16/2021","AL",3065,68
"02/10/2022","NH",1157,4
"09/12/2021","AL",2516,55
"11/01/2021","MI",10415,39
"09/21/2021","MS",1557,15
"02/14/2022","NH",0,0
"09/28/2021","GU",192,1
"12/13/2021","ID",494,3
"12/25/2021","GU",0,0
"10/09/2021","WA",2178,14
"01/20/2022","NC",33507,49
"09/11/2021","NV",983,8
"01/10/2022","NV",17950,18
"01/14/2022","CT",8783,114
"12/30/2021","VT",1164,3
"01/05/2022","VT",789,1
"12/14/2021","CA",5476,19
"09/14/2021","ND",943,4
"01/25/2022","ME",1524,2
"11/10/2021","MO",0,0
"01/28/2022","NH",2429,12
"01/07/2022","WA",17091,30
"02/10/2022","MI",3964,54
"12/29/2021","WA",4818,17
"01/07/2022","IL",42903,124
"12/07/2021","MO",2128,73
"11/30/2021","NE",1384,3
"02/16/2022","MI",3443,236
"10/09/2021","CT",367,0
"01/29/2022","MO",9611,11
"01/09/2022","WA",0,0
"01/20/2022","MO",16599,7
"01/02/2022","NV",0,0
"11/05/2021","MT",682,10
"10/04/2021","MI",3274,17
"11/12/2021","GU",28,0
"12/03/2021","DE",736,12
"10/26/2021","NH",0,0
"09/09/2021","GU",130,0
"12/22/2021","MS",873,6
"12/31/2021","NV",0,0
"11/02/2021","MS",455,14
"09/05/2021","MD",805,10
"12/11/2021","VT",240,3
"02/09/2022","MD",795,40
"10/06/2021","VT",117,1
"09/27/2021","NV",661,10
"09/23/2021","AL",2581,48
"10/20/2021","ND",536,5
"09/17/2021","GU",91,0
"11/12/2021","WA",4123,76
"11/24/2021","MT",491,7
"09/07/2021","ND",639,3
"11/18/2021","CA",7799,129
"11/19/2021","VI",12,1
"09/24/2021","VT",212,1
"10/18/2021","MS",1278,18
"09/12/2021","CA",9045,76
"12/29/2021","NH",1652,15
"12/11/2021","NH",0,0
"09/12/2021","NE",632,2
"10/20/2021","WA",2453,49
"12/02/2021","ME",793,2
"01/26/2022","CT",2795,128
"12/08/2021","NV",736,20
"11/15/2021","MT",782,11
"01/11/2022","ME",1379,0
"01/11/2022","NE",3776,9
"10/08/2021","WA",2300,50
"11/27/2021","CA",4195,0
"10/26/2021","DE",107,4
"12/24/2021","GU",1,0
"10/23/2021","NE",0,0
"11/18/2021","ND",470,12
"01/10/2022","NH",9027,8
"01/19/2022","NH",860,24
"01/12/2022","IN",15012,127
"02/18/2022","DE",278,5
"11/07/2021","CT",0,0
"11/18/2021","IN",3926,29
"09/28/2021","CA",4753,25
"09/04/2021","MI",1726,4
"12/27/2021","GU",43,0
"10/23/2021","WI",0,0
"12/30/2021","ME",1107,4
"01/20/2022","MD",9234,70
"11/02/2021","ND",649,5
